VAR, VAR
n, ident
fat, ident
;, simbolo_ponto_virgula
PROCEDURE, PROCEDURE
fatorial, ident
;, simbolo_ponto_virgula
BEGIN, BEGIN
fat, ident
:=, simbolo_atribuicao
1, numero
., simbolo_ponto
2, numero
;, simbolo_ponto_virgula
WHILE, WHILE
n, ident
>, simbolo_maior
1, numero
DO, DO
BEGIN, BEGIN
fat, ident
:=, simbolo_atribuicao
fat, ident
*, simbolo_mult
n, ident
n, ident
:=, simbolo_atribuicao
n, ident
-, simbolo_menos
1, numero
;, simbolo_ponto_virgula
END, END
END, END
BEGIN, BEGIN
n, ident
:=, simbolo_atribuicao
4, numero
;, simbolo_ponto_virgula
CALL, simbolo_CALL
fatorial, ident
;, simbolo_ponto_virgula
END, END
., simbolo_ponto
{comentario nao fechado..., <ERRO_COMENT>
vS¥, <ERRO_LEXICO>
+, simbolo_mais
õ, <ERRO_LEXICO>
