VAR, VAR
n, ident
fat, ident
;, simbolo_ponto_virgula
BGIN, ident
n, ident
:=, simbolo_atribuicao
4, numero
;, simbolo_ponto_virgula
f@t, <ERRO_LEXICO>
:=, simbolo_atribuicao
1, numero
;, simbolo_ponto_virgula
WHILE, WHILE
n, ident
=>, simbolo_inexistente
1, numero
DO, DO
BEGIN, BEGIN
fat, ident
:=, simbolo_atribuicao
fat, ident
*, simbolo_mult
n, ident
;, simbolo_ponto_virgula
n, ident
:=, simbolo_atribuicao
n, ident
-, simbolo_menos
1, numero
;, simbolo_ponto_virgula
END, END
{testando comentário não fechado
, <ERRO_COMENT>
END, END
., simbolo_ponto
